#timestamp x y z qx qy qz qw
1403636640.663555 -6.475724 3.192181 0.075300 -0.164092 -0.021988 0.982612 -0.084046
1403636641.713556 -6.887984 3.360143 -0.015299 -0.166645 -0.017750 0.982353 -0.083051
1403636642.713556 -7.083332 3.509621 0.013140 -0.176058 -0.006376 0.984042 -0.024993
1403636643.713556 -7.282169 3.649183 0.021482 -0.197271 -0.003549 0.979947 -0.027842
1403636644.763556 -7.798985 3.899732 -0.047434 -0.160031 0.009564 0.986572 -0.031219
1403636645.863555 -8.515804 4.302720 -0.276469 -0.197942 -0.005179 0.979971 -0.021183
1403636646.863555 -9.380000 4.744064 -0.137519 -0.152660 0.025220 0.978844 0.133875
1403636647.913555 -9.884388 5.243197 -0.024442 -0.154233 0.031126 0.977597 0.139816
1403636648.963556 -9.958648 5.790233 -0.164528 -0.178260 0.067099 0.921862 0.337477
1403636650.013556 -9.952246 6.289182 0.219669 -0.140866 0.053946 0.923948 0.351521
1403636651.013556 -9.674861 6.547837 0.182744 -0.135492 0.077118 0.855887 0.493104
1403636652.013556 -9.344354 6.582210 0.250552 -0.114209 0.092634 0.848646 0.508110
1403636653.013556 -8.753295 6.540868 0.137889 -0.140984 0.129028 0.724205 0.662573
1403636654.063555 -8.297255 6.715001 0.182729 -0.116107 0.100764 0.748606 0.644946
1403636655.113555 -7.882171 6.603574 0.224956 -0.103430 0.113770 0.663123 0.732548
1403636656.213556 -7.489793 6.220806 0.064538 -0.089634 0.152954 0.557652 0.810922
1403636657.263556 -6.955338 5.883505 0.106384 -0.070425 0.127220 0.566955 0.810813
1403636658.313555 -6.316081 5.344179 0.007035 -0.094462 0.154943 0.548873 0.815971
1403636659.413555 -5.612114 4.992943 -0.200755 -0.096834 0.131906 0.546176 0.821533
1403636660.413555 -5.332807 4.765641 -0.465710 -0.123944 0.167299 0.531671 0.820959
1403636661.463556 -5.327440 4.912226 -0.848744 -0.094083 0.123388 0.540377 0.826992
1403636662.563555 -5.651425 4.879433 -0.859380 -0.107404 0.140609 0.537982 0.824178
1403636663.613555 -5.812504 4.836658 -1.064223 -0.133057 0.168811 0.527386 0.821987
1403636664.663555 -6.069221 5.432075 -1.257650 -0.094456 0.120457 0.560234 0.814067
1403636665.663555 -6.656209 5.978232 -1.242360 -0.116612 0.129297 0.566865 0.805201
1403636666.713556 -7.284806 6.425863 -1.180623 -0.098752 0.139081 0.568742 0.804635
1403636667.713556 -7.681493 6.735768 -1.209096 -0.103279 0.151491 0.575028 0.797325
1403636668.713556 -7.975561 7.131217 -1.334196 -0.114014 0.137296 0.557240 0.810946
1403636669.713556 -8.491767 7.576180 -1.458798 -0.082712 0.096864 0.561028 0.817938
1403636670.763556 -8.885167 7.365973 -1.374918 -0.013905 0.167271 0.647415 0.743425
1403636671.763556 -7.689176 6.359688 -1.049627 -0.173424 0.127067 0.783971 0.582381
1403636672.813555 -6.701378 6.026039 -0.828618 -0.150461 0.090755 0.786966 0.591447
1403636673.863555 -6.670242 6.158397 -0.871500 -0.161753 0.070858 0.833782 0.523090
1403636674.913555 -7.178133 6.427478 -1.091907 -0.158002 0.111648 0.858639 0.474668
1403636675.963556 -7.834873 6.985717 -1.181525 -0.136236 0.076946 0.901787 0.402864
1403636676.963556 -8.657800 7.318266 -1.345266 -0.168333 0.047472 0.958452 0.225345
1403636677.963556 -9.414521 7.432557 -1.446633 -0.161829 0.040281 0.981097 0.098173
1403636679.063555 -9.882297 7.511523 -1.375999 -0.167743 -0.066056 0.976087 -0.121464
1403636680.113555 -10.039838 7.345421 -1.236523 -0.134950 -0.079427 0.947813 -0.277723
1403636681.163555 -9.600550 6.964883 -1.123191 -0.195138 -0.050533 0.943493 -0.263039
1403636682.213556 -9.097110 6.389154 -1.098078 -0.156151 -0.050384 0.946397 -0.278229
1403636683.263556 -8.485098 5.830877 -1.058192 -0.150035 -0.052503 0.949525 -0.270436
1403636684.313555 -7.753803 5.286505 -1.076020 -0.158101 -0.047323 0.942987 -0.289033
1403636685.363555 -7.046184 4.936837 -1.084869 -0.158851 -0.067549 0.943619 -0.282466
1403636686.463556 -6.245625 4.598578 -1.134115 -0.171314 -0.051395 0.943362 -0.279426
1403636687.463556 -5.689740 4.298155 -1.118559 -0.156488 -0.050242 0.944263 -0.285229
1403636688.463556 -5.197631 4.120697 -1.355572 -0.156203 -0.054499 0.943365 -0.287564
1403636689.513556 -4.667376 3.839020 -1.486108 -0.172966 -0.062057 0.927838 -0.324574
1403636690.513556 -4.575518 3.517853 -1.310405 -0.185141 -0.051182 0.927958 -0.319369
1403636691.613555 -5.025041 3.673658 -1.263312 -0.147153 -0.039067 0.930669 -0.332678
1403636692.713556 -5.259259 4.423302 -0.882580 -0.153576 -0.065965 0.931028 -0.324424
1403636693.863555 -5.346644 4.780541 -0.581936 -0.186969 -0.067327 0.923550 -0.327972
1403636694.913555 -5.627492 4.776702 -0.554922 -0.162178 -0.048044 0.928478 -0.330634
1403636696.163555 -5.909768 4.857893 -0.580436 -0.169000 -0.068388 0.932351 -0.312223
1403636697.263556 -5.940320 4.843812 -0.659386 -0.139255 -0.095371 0.938097 -0.302468
1403636698.313555 -5.615563 4.582491 -0.542681 -0.166065 -0.047755 0.964438 -0.200004
1403636699.363555 -5.312542 4.189776 -0.704430 -0.173364 0.031255 0.981807 0.070869
1403636700.413555 -5.132523 4.118233 -0.823322 -0.160906 0.063195 0.958965 0.224727
1403636701.463556 -4.925954 4.348108 -1.019228 -0.171606 0.051787 0.944927 0.273830
1403636702.463556 -4.841038 4.639989 -1.107047 -0.159953 0.066358 0.910287 0.376017
1403636703.513556 -4.906863 5.013682 -1.425577 -0.145477 0.069089 0.909234 0.383871
1403636704.513556 -4.967648 5.419753 -1.484829 -0.169662 0.065415 0.909625 0.373522
1403636705.563555 -5.349089 5.997657 -1.584630 -0.176403 0.056281 0.910920 0.368699
1403636706.613555 -6.012386 6.636406 -1.711925 -0.165471 0.047412 0.915384 0.363928
1403636707.613555 -6.746975 7.168048 -1.597673 -0.172196 0.057168 0.906724 0.380700
1403636708.613555 -7.616133 7.737848 -1.679964 -0.137132 0.080416 0.917882 0.363621
1403636709.713556 -8.296325 8.191976 -1.766539 -0.162561 0.043023 0.906627 0.386976
1403636710.763556 -9.051510 8.194635 -1.921170 -0.145526 0.067720 0.934200 0.318601
1403636711.813555 -9.584932 8.001768 -1.971716 -0.132890 0.016626 0.955145 0.264123
1403636712.913555 -9.662506 7.416348 -1.695203 -0.137932 0.018439 0.970330 0.197723
1403636713.963556 -9.280588 6.718140 -1.371557 -0.157138 0.045984 0.966616 0.197094
1403636715.013556 -8.750326 6.278432 -1.306456 -0.187178 0.014860 0.976242 0.108147
1403636716.013556 -8.498879 6.093262 -1.186101 -0.138388 0.004953 0.988112 0.066777
1403636717.063555 -8.033257 6.001472 -1.187566 -0.163360 -0.002080 0.986541 0.006744
1403636718.113555 -7.502522 5.784967 -1.188225 -0.162026 -0.043778 0.981811 -0.088755
1403636719.213556 -6.964267 5.283224 -1.342366 -0.153493 -0.043728 0.966765 -0.199732
1403636720.213556 -6.467536 5.010160 -1.424139 -0.168069 -0.029893 0.968238 -0.182684
1403636721.313555 -6.064074 4.922353 -1.503092 -0.160486 -0.011043 0.980507 -0.112820
1403636722.313555 -5.737324 4.979583 -1.520775 -0.163736 -0.018090 0.984087 -0.066602
1403636723.363555 -5.349805 4.954082 -1.512607 -0.165218 -0.016915 0.984993 -0.046971
1403636724.363555 -4.930182 4.868135 -1.512657 -0.176688 0.005409 0.982566 0.057584
1403636725.363555 -4.640254 4.749685 -1.288075 -0.169315 0.020457 0.980608 0.096549
1403636726.413555 -4.449673 4.681219 -1.213260 -0.163492 0.011869 0.982248 0.091205
1403636727.463556 -4.226995 4.686263 -0.955528 -0.161673 -0.007055 0.983859 0.076377
1403636728.513556 -3.918990 4.494050 -0.674186 -0.156999 0.019807 0.984625 0.073979
1403636729.513556 -3.521449 4.223330 -0.638365 -0.156139 -0.009588 0.987673 0.005581
1403636730.563555 -3.020288 3.896497 -0.616760 -0.185182 -0.003744 0.982692 0.003076
1403636731.663555 -2.818621 3.677398 -0.545743 -0.165278 0.015705 0.986116 0.003467
1403636732.763556 -2.620441 3.691282 -0.693110 -0.142383 -0.023719 0.989519 0.004001
1403636733.813555 -2.130958 3.438188 -0.534809 -0.172913 -0.007862 0.984898 -0.003827
1403636734.963556 -1.598939 3.063951 -0.443194 -0.176583 -0.004449 0.984212 -0.011229
1403636736.013556 -1.320793 2.773501 -0.308356 -0.172665 0.000621 0.984975 0.003410
1403636737.113555 -1.150631 2.499197 -0.198206 -0.160966 -0.017073 0.984981 -0.060098
1403636738.163555 -0.962819 2.200878 -0.091217 -0.176199 -0.000439 0.981771 -0.071272
1403636739.213556 -0.973773 2.191532 -0.074364 -0.164364 0.038756 0.980766 0.097876
1403636740.213556 -0.967254 2.419634 -0.248727 -0.161832 0.032583 0.959003 0.230351
1403636741.263556 -0.927803 2.580860 -0.590645 -0.150376 0.028297 0.961096 0.229958
1403636742.413555 -0.886215 2.682298 -0.942171 -0.171460 0.041956 0.958027 0.225887
1403636743.413555 -0.990581 2.798205 -1.146388 -0.200284 0.060698 0.948311 0.238554
1403636744.463556 -1.335459 3.100463 -1.562231 -0.144689 0.061516 0.946387 0.282192
1403636745.613555 -1.506913 3.398456 -2.161391 -0.146796 0.042743 0.951522 0.266891
1403636746.713556 -1.594421 3.381933 -2.037164 -0.172491 0.059553 0.937751 0.295504
1403636747.763556 -1.792269 3.265748 -1.879960 -0.162504 0.046435 0.938916 0.299790
1403636748.813555 -2.048543 3.221796 -1.585897 -0.148491 0.067961 0.937255 0.308033
1403636749.913555 -2.144505 3.327729 -1.345511 -0.134663 0.041622 0.936673 0.320590
1403636750.913555 -2.051670 3.200654 -1.037982 -0.155684 0.041495 0.942586 0.292528
1403636751.913555 -1.986418 3.016130 -0.582862 -0.173566 0.068845 0.943319 0.274381
1403636752.963556 -2.014577 3.042737 -0.228857 -0.166291 0.010192 0.977808 0.127026
1403636754.013556 -2.017365 2.879955 -0.223753 -0.160982 -0.012315 0.986821 -0.010865
1403636755.113555 -1.779491 2.468262 -0.155324 -0.154812 -0.029536 0.984456 -0.077512
1403636756.113555 -1.403142 1.928831 -0.098220 -0.162409 -0.023201 0.983123 -0.080961
1403636757.163555 -0.954758 1.300820 -0.025338 -0.155798 -0.019380 0.983462 -0.090304
1403636758.313555 -0.408242 0.578480 0.094235 -0.157282 -0.020665 0.978619 -0.130918
1403636759.363555 -0.230405 0.081133 -0.015691 -0.159617 0.023795 0.977201 -0.137968
1403636760.413555 -0.116428 0.047045 -0.172478 -0.154771 -0.018583 0.978723 -0.133426
1403636761.463556 -0.016764 -0.020273 -0.310282 -0.179692 -0.030114 0.973918 -0.135230
1403636762.613555 -0.043254 -0.179081 -0.300172 -0.178393 0.013100 0.974460 -0.135764
