#timestamp x y z qx qy qz qw id
1403636699.363555 -5.324096 4.125274 -0.725730 0.628761 0.524935 -0.374155 -0.434868 115
1403636700.413555 -5.163963 4.060447 -0.843813 0.703864 0.414373 -0.306409 -0.488860 116
1403636701.463556 -4.961932 4.294228 -1.042686 -0.720610 -0.393841 0.263393 0.506196 117
1403636702.463556 -4.888000 4.595462 -1.130703 -0.755671 -0.312281 0.207243 0.537115 118
1403636703.513556 -4.955238 4.970199 -1.448308 -0.753332 -0.299079 0.211329 0.546245 119
1403636704.513556 -5.013920 5.374808 -1.509046 -0.758384 -0.318629 0.202854 0.531206 120
1403636705.563555 -5.394294 5.952336 -1.610128 -0.755280 -0.329618 0.198041 0.530739 121
1403636706.613555 -6.057359 6.591051 -1.737769 -0.745254 -0.332993 0.203753 0.540553 122
1403636707.613555 -6.793470 7.124041 -1.623154 -0.757518 -0.318931 0.192398 0.536127 123
1403636708.613555 -7.663398 7.692091 -1.700456 -0.749315 -0.303705 0.235731 0.539186 124
1403636709.713556 -8.343308 8.149245 -1.793265 -0.748627 -0.317751 0.186957 0.551035 125
1403636710.763556 -9.093739 8.144584 -1.942600 -0.732790 -0.344909 0.256237 0.527635 126
1403636711.813555 -9.620644 7.948851 -1.997643 -0.683948 -0.401249 0.275343 0.543507 127
1403636712.913555 -9.690688 7.358531 -1.719916 -0.662016 -0.443783 0.315103 0.515269 128
1403636713.963556 -9.308549 6.659094 -1.393452 0.683344 0.438553 -0.317636 -0.489714 129
1403636715.013556 -8.765398 6.215810 -1.330929 0.642868 0.518580 -0.337305 -0.451687 130
1403636716.013556 -8.510947 6.029835 -1.210163 0.599285 0.525149 -0.383835 -0.466633 131
1403636717.063555 -8.036384 5.936980 -1.211620 0.577367 0.570701 -0.397728 -0.427505 132
1403636718.113555 -7.492756 5.722469 -1.215543 0.505636 0.636044 -0.424193 -0.399800 133
1403636719.213556 -6.940943 5.223454 -1.367489 0.438854 0.679865 -0.477834 -0.341856 134
1403636720.213556 -6.445801 4.949125 -1.447590 0.462277 0.672704 -0.469397 -0.336801 135
1403636721.313555 -6.051835 4.858454 -1.525783 0.509015 0.630617 -0.452870 -0.371665 136
1403636722.313555 -5.730739 4.915536 -1.545318 0.531740 0.614327 -0.425878 -0.398100 137
1403636723.363555 -5.345682 4.889931 -1.537413 0.543264 0.605109 -0.416128 -0.406872 138
1403636724.363555 -4.939258 4.804312 -1.536986 0.610971 0.546360 -0.366824 -0.440052 139
1403636725.363555 -4.654914 4.686482 -1.311272 0.633397 0.514688 -0.357114 -0.454284 140
1403636726.413555 -4.463732 4.618206 -1.237331 0.624321 0.519421 -0.359309 -0.459697 141
1403636727.463556 -4.238844 4.623610 -0.981640 0.607206 0.536017 -0.359200 -0.463640 142
1403636728.513556 -3.931407 4.430153 -0.696784 0.617835 0.522028 -0.376477 -0.451699 143
1403636729.513556 -3.524624 4.159178 -0.663308 0.569976 0.571840 -0.398775 -0.434862 144
1403636730.563555 -3.021851 3.832031 -0.641035 0.583475 0.582600 -0.385941 -0.413743 145
1403636731.663555 -2.821623 3.612075 -0.567460 0.585558 0.564386 -0.407059 -0.415805 146
1403636732.763556 -2.623827 3.627815 -0.719721 0.556146 0.573453 -0.400377 -0.448946 147
1403636733.813555 -2.132149 3.373837 -0.559411 0.573030 0.582909 -0.394663 -0.419636 148
1403636734.963556 -1.599085 2.999366 -0.467205 0.572558 0.586482 -0.397962 -0.412120 149
1403636736.013556 -1.323106 2.708837 -0.332039 0.580874 0.575026 -0.395336 -0.419094 150
1403636737.113555 -1.145032 2.435064 -0.222767 0.534576 0.609593 -0.424886 -0.402613 151
1403636738.163555 -0.955374 2.136049 -0.113339 0.543398 0.613227 -0.429635 -0.379585 152
1403636739.213556 -0.989294 2.127706 -0.095171 0.641058 0.502589 -0.368078 -0.448294 153
1403636740.213556 -0.998375 2.363223 -0.273160 -0.691483 -0.427067 0.287897 0.506537 154
1403636741.263556 -0.959298 2.524706 -0.615190 -0.684525 -0.424551 0.292745 0.515249 155
1403636742.413555 -0.916673 2.625139 -0.965682 0.698294 0.429143 -0.289521 -0.494368 156
1403636743.413555 -1.021730 2.741008 -1.168878 0.723430 0.423501 -0.273119 -0.471913 157
1403636744.463556 -1.373818 3.047355 -1.583579 -0.717255 -0.371839 0.278168 0.519523 158
1403636745.613555 -1.543013 3.344634 -2.184791 -0.703676 -0.392352 0.278135 0.523011 159
1403636746.713556 -1.632870 3.329623 -2.060251 -0.732170 -0.376048 0.252204 0.508831 160
1403636747.763556 -1.831184 3.214355 -1.904293 -0.723275 -0.375809 0.249085 0.523066 161
1403636748.813555 -2.089592 3.170721 -1.607202 -0.730657 -0.353124 0.261770 0.522418 162
1403636749.913555 -2.186630 3.278798 -1.369569 -0.716348 -0.352394 0.248933 0.548358 163
1403636750.913555 -2.090003 3.148889 -1.062447 -0.715640 -0.380212 0.255568 0.527240 164
1403636751.913555 -2.022918 2.961777 -0.604336 0.729757 0.385397 -0.269805 -0.496114 165
1403636752.963556 -2.032833 2.981220 -0.253955 0.640386 0.501501 -0.336586 -0.474460 166
1403636754.013556 -2.018152 2.815743 -0.248731 0.562370 0.583481 -0.402980 -0.425320 167
1403636755.113555 -1.771754 2.404846 -0.181134 0.516281 0.621039 -0.430431 -0.403104 168
1403636756.113555 -1.394695 1.865140 -0.123114 0.520867 0.622882 -0.430872 -0.393783 169
1403636757.163555 -0.945498 1.236997 -0.049598 0.515109 0.622483 -0.441027 -0.390734 170
1403636758.313555 -0.393693 0.515391 0.070659 0.492597 0.641844 -0.458026 -0.368236 171
1403636759.363555 -0.215501 0.016219 -0.033343 0.512256 0.624051 -0.481824 -0.340588 172
1403636760.413555 -0.101707 -0.016109 -0.195769 0.491236 0.640848 -0.461651 -0.367260 173
1403636761.463556 -0.000448 -0.082624 -0.334650 0.494267 0.657766 -0.441991 -0.357336 174
1403636762.613555 -0.027667 -0.243497 -0.319019 0.515723 0.636430 -0.464627 -0.336316 175
